ID,Event Name,Event location,"Date (Month Day, Year ""January 17, 2021"")",Submission deadline,Notification deadline,Notes:,Notes,"This appears to be a call to a journal, not to a conference",Notes ,Date
120,Int'l Conf on Wireless Networks,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015"
121,Int'l Conf on Wireless Network,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
122,Int'l Conf on e-Learning,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
123,Int'l Conf. on AI + Deep Learning,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
124,Int'l Conf. on AI + Deep Learning,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
125,Int'l Conf. on Health Informatics and Medical Systems,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
126,"Int'l Conf. on Image Processing, Computer Vision, & Pattern Recognition","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015"
127,"Int'l Conf. on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
128,Int'l Conf. on Parallel and Distributed Processing Techniques & Applications,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015"
129,Joint International Conference,"Bangkok, Thailand","May 3, 2014","March 28, 2014","April 5, 2014"
130,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
131,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
132,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015"
133,International Conference on Health Informatics & Medical Systems,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015"
136,"Security, IoT, Cloud, CPS Int'l Conferences","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
139,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015"
180,FECS'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
181,ICAI'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
182,ICWN'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
183,PDPTA'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
184,SAM'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
185,SAM'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
186,IPCV'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
187,SERP'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
188,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014"
189,ABDA'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
190,CSC'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
191,FECS'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
192,IKE'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
193,ABDA'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
194,BIOCOMP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
195,FECS'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
196,IKE'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
197,CSC'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
198,SERP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
199,SERP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
340,8th International Conference on Software Engineering and Applications,"Vienna, Austria","August 24, 2019","July 27, 2019","August 10, 2019"
350,"The Second International Conference on Cyber Security, Cyber Peacefare and Digital Forensic","Kuala Lumpur, Malaysia","March 4, 2013","Feb. 10, 2013","Feb. 15, 2013"
355,The Third International Conference on Digital Information Processing and Communications,"Dubai, UAE","January 30, 2013","January 1, 2013","January 10, 2013"
357,ICEND2014,"Beirut, Lebanon","April 30, 2014","March 30, 2014","April 15, 2014"
358,The Fourth International Conference on Digital Information processing and Communications,"Kuala Lumpur, Malaysia","March 18, 2014","Februrary 18, 2014","March 04, 2014"
401,2019 IEEE International Conference on Big Data (IEEE BigData 2019),"Los Angeles, California, USA","December 10, 2019","August 19, 2019","October 16, 2019"
406,The 14th IEEE International Conference on Machine Learning And Applications (IEEE ICMLA 2015),"Miami, USA","December 9, 2015","July 6, 2015","September 9, 2015"
414,Joint International Conference,"Kuala Lumpur, Malaysia","August 2, 2014","April 22, 2014","May 5, 2014"
200,ICWN'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
201,ICWN'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014"
203,The International Conference on E-Technologies and Business on the Web,"Bangkok, Thailand","May 7, 2013","March 20, 2013","April 20, 2013"
205,FECS'13,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013"
206,IKE'13,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013"
207,WCIT2014,"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014","March 04, 2014"
208,The 15th International Conference on Frontiers in Education,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
210,"The 2019 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019"
211,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2017","March 31, 2015","April 24, 2015"
212,"The International Conference on Digital Information Networking, and Wireless Communications ","Ostrava, Czech Republic","June 24, 2014","May 25, 2014","June 05, 2014"
213,The 2014 International Conference on Advances in Big Data Analytics,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
214,ICAI'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
215,BIOCOMP'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
216,FECS'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
217,IPCV'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
218,ICOMP'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
219,PDPTA'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014"
220,SERP'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
221,ICWN'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
222,EEE'14,"Las Vegas, California, USA",2014-07-21 00:00:00,2014-06-04 00:00:00,2014-06-14 00:00:00
