ID,Event Name,Event location,"Date (Month Day, Year ""January 17, 2021"")",Submission deadline,Notification deadline,Notes:,Notes,"This appears to be a call to a journal, not to a conference",Notes ,Date
120,Int'l Conf on Wireless Networks,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",,,,,
121,Int'l Conf on Wireless Network,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",,,,,
122,Int'l Conf on e-Learning,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",,,,,
123,Int'l Conf. on AI + Deep Learning,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",,,,,
124,Int'l Conf. on AI + Deep Learning,"Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",,,,,
125,Int'l Conf. on Health Informatics and Medical Systems,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",,,,,
126,"Int'l Conf. on Image Processing, Computer Vision, & Pattern Recognition","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",,,,,
127,"Int'l Conf. on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",,,,,
128,Int'l Conf. on Parallel and Distributed Processing Techniques & Applications,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",,,,,
129,Joint International Conference,"Bangkok, Thailand","May 3, 2014","March 28, 2014","April 5, 2014",,,,,
130,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",,,,,
131,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",,,,,
132,International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",,,,,
133,International Conference on Health Informatics & Medical Systems,"Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",,,,,
134,The Second International Conference on Informatics & Applications,Poland,"September 23, 2013",,,,,,,
135,The Second International Conference on Informatics & Applications,Poland,"September 23, 2013",,,,,,,
136,"Security, IoT, Cloud, CPS Int'l Conferences","Las Vegas, USA","July 29, 2019","June 20, 2019","June 27, 2019",,,,,
137,Special Issue on Energy-Aware Resource Management and Scheduling in SUSCOM journal,,,"March 1, 2014","June 01, 2014",,,,,
138,15th International Conference on Artificial Intelligence and Soft Computing,"Zakopane, Poland","June 12, 2016",,,,,,,
139,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",,,,,
180,FECS'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
181,ICAI'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
182,ICWN'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
183,PDPTA'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
184,SAM'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
185,SAM'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
186,IPCV'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
187,SERP'14,"Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
188,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 21, 2014","April 19, 2014","May 10, 2014",,,,,
189,ABDA'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
190,CSC'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
191,FECS'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
192,IKE'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
193,ABDA'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
194,BIOCOMP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
195,FECS'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
196,IKE'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
197,CSC'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
198,SERP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
199,SERP'14,"Las Vegas, USA","July 21, 2014","March 15, 2014","April 15, 2014",,,,,
340,8th International Conference on Software Engineering and Applications,"Vienna, Austria","August 24, 2019","July 27, 2019","August 10, 2019",,,,,
341,Global Journal of Mathematics,,,,,,,,,
342,Global Journal of Mathematics,,,,,,,,,
343,,,,"March 3, 2020",,,,,,
344,The 14th International Conference on Artificial Intelligence,USA,"July 16, 2012","May 16, 2012",,,,,,
345,14th International Conference on Artificial Intelligence ,USA,"July 16, 2012","May 16, 2012",,,,,,
346,The 14th International Conference on Artificial Intelligence,USA,"July 16, 2012","May 16, 2012",,,,,,
347,,,,,,,,,,
348,The Second International Conference on Digital Enterprise and Information Systems,"Kuala Lumpur, Malaysia","March 4, 2013","February 6, 2013",,,,,,
349,The Second International Conference on e-Technologies and Networks for Development,"Kuala Lumpur, Malaysia","March 4, 2013","February 6, 2013",,,,,,
350,"The Second International Conference on Cyber Security, Cyber Peacefare and Digital Forensic","Kuala Lumpur, Malaysia","March 4, 2013","Feb. 10, 2013","Feb. 15, 2013",,,,,
351,DICTAP 2013,"VSB-Technical University of Ostrava, Czech Republic","July 8, 2013","May 30, 2013",,,,,,
352,ICIA2013,"Lodz University of Technology, Poland","September 23, 2013","August 20, 2013",,,,,,
353,The World Congress on Computing and Information Technology,,"March 4, 2013",,,,,,,
354,International Conference on Digital Security and Forensics ,"Ostrava, Czech Republic","June 24, 2014",,,,,,,
355,The Third International Conference on Digital Information Processing and Communications,"Dubai, UAE","January 30, 2013","January 1, 2013","January 10, 2013",,,,,
356,INTELLI 2015,"St. Julians, Malta","October 11, 2015","May 24, 2015",,,,,,
357,ICEND2014,"Beirut, Lebanon","April 30, 2014","March 30, 2014","April 15, 2014",,,,,
358,The Fourth International Conference on Digital Information processing and Communications,"Kuala Lumpur, Malaysia","March 18, 2014","Februrary 18, 2014","March 04, 2014",,,,,
359,,,,"Februrary 20, 2020",,,,,,
400,2019 IEEE International Conference on Big Data (BigData 2019),"Los Angeles, California, USA","December 9, 2019","November 10, 2019",,,,,,
401,2019 IEEE International Conference on Big Data (IEEE BigData 2019),"Los Angeles, California, USA","December 10, 2019","August 19, 2019","October 16, 2019",,,,,
402,IEEE Computer Society AI and Smart Manufacturing Working Group Plenary Meeting,"Beijing, China",October 2019,,,,,,,
403,IEEE Central Coast Event,"Goleta, California","Jul 17, 2019",,,,,,,
404,IEEE Central Coast Event,"Goleta, California","August 21, 2019",,,,,,,
405,IEEE Central Coast Event,"Goleta, California","August 22, 2019",,,,,,,
